operator,procstat,geo,TIME_PERIOD,OBS_VALUE
IMP,REG_END,DE,2017,1687.0
IMP,REG_END,DE,2018,1685.0
IMP,REG_END,DE,2019,1831.0
IMP,REG_END,DE,2020,1889.0
IMP,REG_END,DE,2021,1988.0
IMP,REG_END,DE,2022,1988.0
IMP,REG_END,DK,2014,68.0
IMP,REG_END,DK,2015,76.0
IMP,REG_END,DK,2016,74.0
IMP,REG_END,DK,2017,94.0
IMP,REG_END,DK,2018,94.0
IMP,REG_END,DK,2019,101.0
IMP,REG_END,DK,2020,149.0
IMP,REG_END,DK,2022,94.0
IMP,REG_END,EE,2012,5.0
IMP,REG_END,EE,2013,10.0
IMP,REG_END,EE,2014,9.0
IMP,REG_END,EE,2015,16.0
IMP,REG_END,EE,2016,26.0
IMP,REG_END,EE,2017,33.0
IMP,REG_END,EE,2018,33.0
IMP,REG_END,EE,2019,38.0
IMP,REG_END,EE,2020,38.0
IMP,REG_END,EE,2021,47.0
IMP,REG_END,EE,2022,47.0
IMP,REG_END,EL,2012,4.0
IMP,REG_END,EL,2013,3.0
IMP,REG_END,EL,2014,7.0
IMP,REG_END,EL,2015,14.0
IMP,REG_END,EL,2016,20.0
IMP,REG_END,EL,2017,30.0
IMP,REG_END,EL,2018,33.0
IMP,REG_END,EL,2019,44.0
IMP,REG_END,EL,2020,45.0
IMP,REG_END,EL,2022,2.47
IMP,REG_END,ES,2012,111.0
IMP,REG_END,ES,2013,112.0
IMP,REG_END,ES,2014,127.0
IMP,REG_END,ES,2015,166.0
IMP,REG_END,ES,2016,205.0
IMP,REG_END,ES,2017,263.0
IMP,REG_END,ES,2018,320.0
IMP,REG_END,ES,2019,364.0
IMP,REG_END,ES,2020,435.0
IMP,REG_END,ES,2021,472.0
IMP,REG_END,ES,2022,230.0
IMP,REG_END,FI,2012,52.0
IMP,REG_END,FI,2013,51.0
IMP,REG_END,FI,2014,111.0
IMP,REG_END,FI,2015,79.0
IMP,REG_END,FI,2016,78.0
IMP,REG_END,FI,2017,59.0
IMP,REG_END,FI,2019,72.0
IMP,REG_END,FI,2020,77.0
IMP,REG_END,FI,2021,84.0
IMP,REG_END,FI,2022,84.0
IMP,REG_END,FR,2012,137.0
IMP,REG_END,FR,2013,137.0
IMP,REG_END,FR,2014,148.0
IMP,REG_END,FR,2015,273.0
IMP,REG_END,FR,2016,316.0
IMP,REG_END,FR,2017,418.0
IMP,REG_END,FR,2022,142.72
IMP,REG_END,HR,2012,30.0
IMP,REG_END,HR,2013,34.0
IMP,REG_END,HR,2014,12.0
IMP,REG_END,HR,2015,19.0
IMP,REG_END,HR,2016,17.0
IMP,REG_END,HR,2017,23.0
IMP,REG_END,HR,2018,14.0
IMP,REG_END,HR,2019,22.0
IMP,REG_END,HR,2021,12.0
IMP,REG_END,HR,2022,12.0
IMP,REG_END,HU,2012,5.0
IMP,REG_END,HU,2013,15.0
IMP,REG_END,HU,2014,16.0
IMP,REG_END,HU,2015,21.0
IMP,REG_END,HU,2016,34.0
IMP,REG_END,HU,2017,36.0
IMP,REG_END,HU,2018,42.0
IMP,REG_END,HU,2019,44.0
IMP,REG_END,HU,2020,57.0
IMP,REG_END,HU,2021,61.0
IMP,REG_END,HU,2022,61.0
IMP,REG_END,IE,2013,32.0
IMP,REG_END,IE,2014,10.0
IMP,REG_END,IE,2015,21.0
IMP,REG_END,IE,2016,23.0
IMP,REG_END,IE,2017,26.0
IMP,REG_END,IE,2020,43.0
IMP,REG_END,IE,2021,156.0
IMP,REG_END,IE,2022,156.0
IMP,REG_END,IS,2012,2.0
IMP,REG_END,IS,2014,2.0
IMP,REG_END,IS,2015,2.0
IMP,REG_END,IS,2016,2.0
IMP,REG_END,IS,2017,2.0
IMP,REG_END,IS,2018,1.0
IMP,REG_END,IS,2019,2.0
IMP,REG_END,IS,2020,2.0
IMP,REG_END,IS,2022,2.47
IMP,REG_END,IT,2012,5.0
IMP,REG_END,IT,2013,260.0
IMP,REG_END,IT,2014,259.0
IMP,REG_END,IT,2015,310.0
IMP,REG_END,IT,2016,363.0
IMP,REG_END,IT,2017,411.0
IMP,REG_END,IT,2018,472.0
IMP,REG_END,IT,2019,527.0
IMP,REG_END,IT,2020,544.0
IMP,REG_END,IT,2022,506.56
IMP,REG_END,LT,2012,0.0
IMP,REG_END,LT,2013,3.0
IMP,REG_END,LT,2014,5.0
IMP,REG_END,LT,2015,8.0
IMP,REG_END,LT,2016,11.0
IMP,REG_END,LT,2017,12.0
IMP,REG_END,LT,2018,11.0
IMP,REG_END,LT,2019,3.0
IMP,REG_END,LT,2020,1.0
IMP,REG_END,LT,2021,1.0
IMP,REG_END,LT,2022,1.0
IMP,REG_END,LU,2013,2.0
IMP,REG_END,LU,2014,5.0
IMP,REG_END,LU,2015,6.0
IMP,REG_END,LU,2016,4.0
IMP,REG_END,LU,2017,6.0
IMP,REG_END,LU,2018,8.0
IMP,REG_END,LU,2019,7.0
IMP,REG_END,LU,2020,7.0
IMP,REG_END,LU,2021,8.0
IMP,REG_END,LU,2022,2.47
IMP,REG_END,LV,2012,2.0
IMP,REG_END,LV,2013,6.0
IMP,REG_END,LV,2014,6.0
IMP,REG_END,LV,2015,10.0
IMP,REG_END,LV,2016,9.0
IMP,REG_END,LV,2017,10.0
IMP,REG_END,LV,2019,5.0
IMP,REG_END,LV,2022,2.47
IMP,REG_END,ME,2022,2.47
IMP,REG_END,MK,2013,2.0
IMP,REG_END,MK,2014,0.0
IMP,REG_END,MK,2015,1.0
IMP,REG_END,MK,2016,0.0
IMP,REG_END,MK,2017,5.0
IMP,REG_END,MK,2018,4.0
IMP,REG_END,MK,2019,5.0
IMP,REG_END,MK,2020,7.0
IMP,REG_END,MK,2021,8.0
IMP,REG_END,MK,2022,2.47
IMP,REG_END,MT,2012,2.0
IMP,REG_END,MT,2013,11.0
IMP,REG_END,MT,2014,11.0
IMP,REG_END,MT,2015,12.0
IMP,REG_END,MT,2016,13.0
IMP,REG_END,MT,2017,12.0
IMP,REG_END,MT,2018,14.0
IMP,REG_END,MT,2019,14.0
IMP,REG_END,MT,2020,17.0
IMP,REG_END,MT,2021,37.0
IMP,REG_END,MT,2022,37.0
IMP,REG_END,NL,2014,276.0
IMP,REG_END,NL,2015,315.0
IMP,REG_END,NL,2016,364.0
IMP,REG_END,NL,2017,385.0
IMP,REG_END,NL,2018,417.0
IMP,REG_END,NL,2019,462.0
IMP,REG_END,NL,2020,479.0
IMP,REG_END,NL,2021,533.0
IMP,REG_END,NL,2022,374.92
IMP,REG_END,NO,2012,60.0
IMP,REG_END,NO,2013,72.0
IMP,REG_END,NO,2014,65.0
IMP,REG_END,NO,2015,74.0
IMP,REG_END,NO,2016,79.0
IMP,REG_END,NO,2017,84.0
IMP,REG_END,NO,2018,93.0
IMP,REG_END,NO,2019,94.0
IMP,REG_END,NO,2020,103.0
IMP,REG_END,NO,2022,62.45
IMP,REG_END,PL,2012,30.0
IMP,REG_END,PL,2013,46.0
IMP,REG_END,PL,2014,68.0
